"analysis","feature","k","n_total","estimate","ci_lo","ci_hi","p","I2","tau2","direction_consistent","method"
"primary_ncrt9","IFN",9,577,0.383000604677976,0.193720239653364,0.572280969702587,7.30965413694067e-05,1.50713787812338,0.00130771707481162,8,"DerSimonian-Laird"
"primary_ncrt9","NK",9,577,0.24533613173029,0.0589717720825504,0.431700491378029,0.00987408118732495,0,0,7,"DerSimonian-Laird"
"primary_ncrt9","Cyto",9,577,0.266993808010444,0.0806956015621407,0.453292014458747,0.00496987938074675,0,0,7,"DerSimonian-Laird"
"radiotherapy_containing10","IFN",10,628,0.299857257980289,0.0746641826260946,0.525050333334483,0.00905818399107756,33.9257305434337,0.0434229146893167,8,"DerSimonian-Laird"
"radiotherapy_containing10","NK",10,628,0.193021016566494,0.00568614671540754,0.38035588641758,0.0434361514904353,9.04177483470034,0.00830917716435522,7,"DerSimonian-Laird"
"radiotherapy_containing10","Cyto",10,628,0.223682049575818,0.0471512566056112,0.400212842546026,0.0130092969414897,0,0,7,"DerSimonian-Laird"
"high_coverage_ncrt7","IFN",7,518,0.448882891001248,0.248244642611802,0.649521139390693,1.15954586109451e-05,0,0,7,"DerSimonian-Laird"
"high_coverage_ncrt7","NK",7,518,0.257383784893377,0.033927055009863,0.480840514776891,0.0239716405226924,17.1502892977528,0.0156256235279366,5,"DerSimonian-Laird"
"high_coverage_ncrt7","Cyto",7,518,0.321264884878736,0.121938326839224,0.520591442918248,0.00158293566158099,0,0,7,"DerSimonian-Laird"
