"analysis","feature","k","n_total","OR","ci_lo","ci_hi","p","I2","tau2_log","pi_lo","pi_hi","method"
"primary_ncrt9","IFN",9,577,1.65836515122418,0.983836800491337,2.79535688583853,0.0559436684917857,21.5263796494513,0,0.970864790578765,2.83270647105797,"REML + modified Hartung-Knapp"
"primary_ncrt9","NK",9,577,1.97597371734729,1.13419077684644,3.44251797083333,0.0221822527152231,23.821036653281,0.132390149918422,0.704273038552303,5.54397501808855,"REML + modified Hartung-Knapp"
"primary_ncrt9","Cyto",9,577,1.57388354229122,0.915110598687077,2.70689620276403,0.0898933639752332,11.5666272192079,0.113872936304569,0.595100017113012,4.16250938239304,"REML + modified Hartung-Knapp"
"radiotherapy_containing10","IFN",10,628,1.40514189252366,0.762823334843452,2.58831061916869,0.239498144651609,41.1117008295846,0.262128443889624,0.369851012122851,5.33842999858859,"REML + modified Hartung-Knapp"
"radiotherapy_containing10","NK",10,628,1.70119809760154,0.957469231756141,3.02262973189744,0.0660643342067184,39.2165454983135,0.246649685632414,0.469961933919892,6.15810506851908,"REML + modified Hartung-Knapp"
"radiotherapy_containing10","Cyto",10,628,1.52815420320138,0.935046343689076,2.49747542945161,0.0825842463485381,4.53267345968178,0.0936320813037215,0.643275653647477,3.63025594940638,"REML + modified Hartung-Knapp"
"high_coverage_ncrt7","IFN",7,518,1.91570010774234,1.12992188724224,3.24792974119743,0.0236073730235117,2.14109675252362,0,1.10017144529145,3.3357590932855,"REML + modified Hartung-Knapp"
"high_coverage_ncrt7","NK",7,518,2.19770607199066,1.14504434711002,4.21810036533067,0.0254393073153302,30.7659354488924,0.141659335952538,0.671667357104842,7.19092855678364,"REML + modified Hartung-Knapp"
"high_coverage_ncrt7","Cyto",7,518,1.67177230877578,0.877969543647375,3.18327973061443,0.0987235467562238,24.7660916442248,0.142160283044174,0.51267089588931,5.45149466216806,"REML + modified Hartung-Knapp"
