"method","k","g","ci_lo","ci_hi","p","I2","tau2","pi_lo","pi_hi","n_dir"
"mean_z",9,0.376561078321002,0.13832040748364,0.614801749158364,0.0065429058179075,14.3532931922532,0,0.132264175562897,0.620857981079107,8
"ssGSEA [primary ref]",9,0.383520353651015,0.161401910797097,0.605638796504932,0.00405229356605647,1.50713787812338,0,0.155755516337791,0.611285190964239,8
