"analysis","feature","k","n_total","estimate","ci_lo","ci_hi","p","I2","tau2","Q","Qp","pi_lo","pi_hi","direction_consistent","method"
"primary_ncrt9","IFN",9,577,0.383520353651015,0.161401910797097,0.605638796504932,0.00405229356605647,1.50713787812338,0,8.12241600827954,0.421604506829445,0.155755516337791,0.611285190964239,8,"REML + modified Hartung-Knapp"
"primary_ncrt9","NK",9,577,0.233936704691578,-0.00493163727098028,0.472805046654137,0.0538571174511471,0,0.0123014706125689,7.7935655285504,0.453890837529878,-0.124921058925061,0.592794468308217,7,"REML + modified Hartung-Knapp"
"primary_ncrt9","Cyto",9,577,0.263564709047989,0.0396420018446091,0.487487416251369,0.0264834814602195,0,0.00279176349101911,6.21809627921979,0.622816390437417,0.00215883086491259,0.524970587231065,7,"REML + modified Hartung-Knapp"
"radiotherapy_containing10","IFN",10,628,0.300120756255029,0.0365898261582051,0.563651686351852,0.0298800947101957,33.9257305434337,0.0414712111493806,13.6210359554805,0.136458673751676,-0.24089352778131,0.841135040291367,8,"REML + modified Hartung-Knapp"
"radiotherapy_containing10","NK",10,628,0.184865068911107,-0.0480871528664116,0.417817290688626,0.106195595845261,9.04177483470034,0.020948058709155,9.89465216987708,0.35908091714188,-0.224751044214135,0.59448118203635,7,"REML + modified Hartung-Knapp"
"radiotherapy_containing10","Cyto",10,628,0.211701875509956,-0.00913986570664124,0.432543616726553,0.0582523577896656,0,0.0117167956251593,8.25158707584851,0.509004758488897,-0.124431902461449,0.547835653481361,7,"REML + modified Hartung-Knapp"
"high_coverage_ncrt7","IFN",7,518,0.448882891001248,0.198401203359869,0.699364578642626,0.00464272163250275,0,0,4.75307974522397,0.575849922179578,0.185741545672781,0.712024236329715,7,"REML + modified Hartung-Knapp"
"high_coverage_ncrt7","NK",7,518,0.255189796432337,-0.0306957969899272,0.541075389854601,0.0716467895238297,17.1502892977528,0.0196473500741937,7.24202890890391,0.299043436720058,-0.213882079126936,0.72426167199161,5,"REML + modified Hartung-Knapp"
"high_coverage_ncrt7","Cyto",7,518,0.321264884878736,0.0724207434936255,0.570109026263847,0.019589021506945,0,0,3.84692724983988,0.6973822541492,0.0598438494418604,0.582685920315612,7,"REML + modified Hartung-Knapp"
