"model","cohort","auc","ci_lo","ci_hi"
"IFN单独","GSE209746(训练)",0.555683122847302,0.425282346351439,0.686083899343165
"IFN单独","GSE35452(验证)",0.577651515151515,0.4072193330397,0.74808369726333
"IFN单独","GSE87211(验证)",0.600513259195894,0.483755686422893,0.717270831968895
"IFN+IGF2+L1CAM","GSE209746(训练)",0.638346727898967,0.523720443853127,0.752973011944807
"IFN+IGF2+L1CAM","GSE35452(验证)",0.5,0.328824052952312,0.671175947047688
"IFN+IGF2+L1CAM","GSE87211(验证)",0.617279726261762,0.501606933534978,0.732952518988547
"+NK+Cyto","GSE209746(训练)",0.648105625717566,0.53441856649604,0.761792684939092
"+NK+Cyto","GSE35452(验证)",0.515151515151515,0.343625268172229,0.686677762130802
"+NK+Cyto","GSE87211(验证)",0.602395209580838,0.492579485259771,0.712210933901905
