"cohort","feature","Q_contrib","influence","label"
"GSE209746","IFN",0.218366353849003,0.0397909761856839,""
"GSE35452","IFN",0.242637058579665,0.0251416239782801,""
"GSE87211","IFN",0.262800225866892,0.0832523918194055,""
"GSE150082","IFN",2.79621992320177,0.233850949137486,"GSE150082"
"GSE45404","IFN",0.000931120913799182,8.2491761229712e-05,""
"GSE119409","IFN",1.34843476720854,0.141569104361765,""
"GSE133057","IFN",2.34647049591103,0.181384060010926,""
"GSE53781","IFN",0.615164094366708,0.0343243099102424,""
"GSE94104","IFN",0.291391968382135,0.020448539481845,""
"GSE209746","NK",0.106528670548362,0.0013396769109591,""
"GSE35452","NK",0.228968372859083,0.0108407801128764,""
"GSE87211","NK",2.39902322610939,0.649341330242147,"GSE87211"
"GSE150082","NK",2.23840174217331,0.187023508515305,""
"GSE45404","NK",0.710987984252325,0.062537358879928,""
"GSE119409","NK",1.60270941924384,0.224504044746935,""
"GSE133057","NK",0.447694100586759,0.0261923867645895,""
"GSE53781","NK",0.0442565620051258,0.000284518599529733,""
"GSE94104","NK",0.0149954507721967,0.000172248480299497,""
"GSE209746","Cyto",0.3076852885076,0.0368234315274898,""
"GSE35452","Cyto",0.571276979506223,0.0676137042055762,""
"GSE87211","Cyto",2.38252841272097,0.763065370661279,"GSE87211"
"GSE150082","Cyto",0.22465138099198,0.0415639208598644,""
"GSE45404","Cyto",0.377057044447097,0.0648908582408661,""
"GSE119409","Cyto",0.000364800401942064,0.00559117871564633,""
"GSE133057","Cyto",0.679297887255176,0.0579802891001135,""
"GSE53781","Cyto",1.40708510911588,0.103682622360832,""
"GSE94104","Cyto",0.268149376272923,0.0154434120094042,""
