"feature","k","g","ci_lo","ci_hi","p","I2","tau2","Q","pi_lo","pi_hi","n_dir"
"IFN_Hallmark_primary",9,0.383520353651015,0.161401910797097,0.605638796504932,0.00405229356605647,1.50713787812338,0,8.12241600827954,0.155755516337791,0.611285190964239,8
"IFNG_Ayers6",9,0.286519075521551,0.0278319556899383,0.545206195353164,0.0339570141145994,16.6912893009516,0.0262082107470032,9.60283736583068,-0.179212996768843,0.752251147811945,6
"Interferon Alpha/Beta Signaling R-HSA-909733",9,0.347510072852239,0.118249049857357,0.576771095847121,0.00813371145561227,7.68833207241524,0,8.66629341620792,0.112421086391826,0.582599059312652,7
"Interferon Gamma Signaling R-HSA-877300",9,0.33364076623898,0.0703446814266578,0.596936851051302,0.0192293880892997,25.7930716363064,0.0280831169972513,10.7806645233871,-0.145858425363768,0.813139957841728,7
"CXCL9",9,0.250968037677175,-0.0273339783670883,0.529270053721439,0.0711687714482219,31.6389134578307,0.0330815141504711,11.7025641408802,-0.265184443695196,0.767120519049547,6
"CXCL10",9,0.319332203890999,0.0755067306581876,0.563157677123811,0.0165565403038017,15.197087158237,0.0106815359763002,9.43363822293169,-0.0302920074616238,0.668956415243622,8
"IDO1",9,0.212895333408165,-0.0503489141194793,0.47613958093581,0.0991735445816907,22.7575456655584,0.0300596158261025,10.356998711307,-0.277963368393615,0.703754035209946,5
"STAT1",9,0.388763793776675,0.146889586194047,0.630638001359303,0.00598695123075756,13.5951617736843,0.0115969092658887,9.25874078838735,0.0332939274464031,0.744233660106947,7
"IFNG",9,0.278692937285623,0.0595817845058594,0.497804090065387,0.0189092580670885,0,0,5.21499071596212,0.0540118373050246,0.503374037266222,8
