"good","poor","regimen","n","pcr_rate","regimen3_levels"
22,89,"fluoropyrimidine_CRT",111,0.198198198198198,"fluoro"
13,78,"oxaliplatin_containing_CRT",91,0.142857142857143,"oxa | oxa_cetux"
