"feature","k","g","ci_lo","ci_hi","p","I2","tau2","pi_lo","pi_hi","n_dir"
"NK cells",9,0.20729528993596,-0.0237602161630955,0.438350796035016,0.0723560210710971,0,0.00736340183245575,-0.104646161905001,0.519236741776921,5
"Cytotoxic lymphocytes",9,0.311108629419186,0.0495592968362924,0.572657962002079,0.0253332898263634,25.2267327286795,0.0270419408060573,-0.161261791984929,0.783479050823301,7
"NK cells [ssGSEA ref]",9,0.233936704691578,-0.00493163727098028,0.472805046654137,0.0538571174511471,0,0.0123014706125689,-0.124921058925061,0.592794468308217,7
"Cytotoxic lymphocytes [ssGSEA ref]",9,0.263564709047989,0.0396420018446091,0.487487416251369,0.0264834814602195,0,0.00279176349101911,0.00215883086491259,0.524970587231065,7
