"feature","regimen","n","n_good","n_poor","g","se","lo","hi"
"IFN","oxaliplatin_containing_CRT",91,13,78,0.539662660605893,0.302290829916735,-0.0528273660309078,1.13215268724269
"IFN","fluoropyrimidine_CRT",111,22,89,0.473003155131284,0.240243197653581,0.00212648773026458,0.943879822532303
"NK","oxaliplatin_containing_CRT",91,13,78,0.580350317996298,0.302713992152171,-0.0129691066219564,1.17366974261455
"NK","fluoropyrimidine_CRT",111,22,89,0.472418568189264,0.24023792120309,0.00155224263120751,0.94328489374732
"Cyto","oxaliplatin_containing_CRT",91,13,78,0.904612418390602,0.30714965976479,0.302599085251613,1.50662575152959
"Cyto","fluoropyrimidine_CRT",111,22,89,0.332953711179309,0.2391631749323,-0.135806111688,0.801713534046617
