ID	GENE_SYMBOL	ENSEMBL_ID
(+)E1A_r60_1		
(+)E1A_r60_3		
(+)E1A_r60_a104		
(+)E1A_r60_a107		
(+)E1A_r60_a135		
(+)E1A_r60_a20		
(+)E1A_r60_a22		
(+)E1A_r60_a97		
(+)E1A_r60_n11		
(+)E1A_r60_n9		
(-)3xSLv1		
A_23_P102731	SMOX	
A_23_P102770	NAA20	ENST00000334982
A_23_P102832	CEP250	ENST00000342580
A_23_P102842	NFS1	ENST00000440385
A_23_P102864	TMPRSS15	ENST00000284885
A_23_P102876	CCT8	ENST00000542732
A_23_P102890	MRPS6	ENST00000483977
A_23_P1029	MFAP2	
A_23_P10291	CTSE	ENST00000360218
A_23_P102919	B3GALT5	
A_23_P102925	PWP2	ENST00000291576
A_23_P102937	SUMO3	ENST00000332859
A_23_P102950	RSPH1	ENST00000493019
A_23_P102965	BCL2L13	ENST00000498133
A_23_P102988	TXNRD2	ENST00000471149
A_23_P103011	RAB36	ENST00000263116
A_23_P103034	CRYBA4	ENST00000466315
A_23_P10305	CTPS2	ENST00000380207
A_23_P103070	YWHAH	ENST00000248975
A_23_P103099	RBFOX2	
A_23_P103104	MFNG	ENST00000356998
A_23_P103110	MAFF	
A_23_P103131	SMCR7L	ENST00000404569
A_23_P103149	ACO2	ENST00000544234
A_23_P103201	PNRC2	ENST00000400776
A_23_P103226	FAAH	ENST00000493636
A_23_P103256	CFHR3	ENST00000367427
A_23_P103276	KTI12	ENST00000371614
A_23_P103282	TMEM59	ENST00000470395
A_23_P103310	S100A7	ENST00000368723
A_23_P103328	PTGER3	
A_23_P103349	OCLM	
A_23_P103361	LCK	ENST00000469765
A_23_P103371	ADC	ENST00000341637
A_23_P103398	PSEN2	ENST00000366783
A_23_P103414	YTHDF2	ENST00000542507
A_23_P103424	RGS8	ENST00000367556
A_23_P103433	OSCP1	ENST00000471369
A_23_P103442	MEAF6	ENST00000487788
A_23_P103465	PLA2G5	ENST00000465698
A_23_P103476	UBIAD1	ENST00000376810
A_23_P103486	CYP2J2	ENST00000469406
A_23_P103503	MDM4	
A_23_P103511	C1orf226	ENST00000458626
A_23_P103532	GPR161	ENST00000493800
A_23_P103588	HMGCS2	ENST00000544913
A_23_P103601	MAN1C1	ENST00000263979
A_23_P103617	ANXA9	ENST00000368947
A_23_P103628	HEATR1	ENST00000366581
A_23_P103631	EBNA1BP2	ENST00000236051
A_23_P103661	YY1AP1	
A_23_P103672	NES	ENST00000368223
A_23_P103690	FAM189B	ENST00000487649
A_23_P103703	HSPB7	ENST00000375714
A_23_P103720	AGMAT	ENST00000375826
A_23_P10374	R3HDM2	ENST00000358907
A_23_P103756	OVGP1	ENST00000434331
A_23_P103765	FCER1A	ENST00000368115
A_23_P103775	LRRC8C	ENST00000370454
A_23_P103803	FCRL3	ENST00000368186
A_23_P103812	FAM5C	ENST00000534846
A_23_P103837	UBAP2L	ENST00000475373
A_23_P10385	DTL	ENST00000475419
A_23_P103864	TTC13	ENST00000414259
A_23_P103877	LRRC38	ENST00000376085
A_23_P103897		ENST00000431031
A_23_P103905	UFC1	ENST00000467540
A_23_P103919	B4GALT3	ENST00000367998
A_23_P103932	FGR	ENST00000374004
A_23_P103942	DNAJC11	ENST00000377577
A_23_P103968	AKR7A3	ENST00000361640
A_23_P103971	CYP4Z1	ENST00000334194
A_23_P104025	TSEN15	ENST00000462677
A_23_P104046	BPNT1	ENST00000302686
A_23_P104054	C1orf9	ENST00000367723
A_23_P104073	S100A3	ENST00000368712
A_23_P104098	SYT2	ENST00000367267
A_23_P104109	RPS6KC1	
A_23_P104116	RBM8A	ENST00000369307
A_23_P104146	ZMYM4	ENST00000373297
A_23_P104151	TMEM69	ENST00000496366
A_23_P104188	ELF3	ENST00000475698
A_23_P104199	ITGB1	ENST00000494395
A_23_P104201	YME1L1	ENST00000375969
A_23_P104224	A1CF	
A_23_P1043	C1orf106	ENST00000465162
A_23_P104318	DDIT4	ENST00000307365
A_23_P104323	MGMT	
A_23_P104362	ECHS1	ENST00000368547
A_23_P104372	DNAJC9	ENST00000372950
A_23_P104413	DUX4	
A_23_P10442	OSBPL1A	ENST00000319481
A_23_P104438	MYPN	ENST00000354393
A_23_P104464	ALOX5	ENST00000374391
A_23_P104471	DUSP13	
A_23_P104509	FAM53B	ENST00000494792
A_23_P104563	CPT1A	ENST00000539743
A_23_P10458	C22orf26	ENST00000333761
A_23_P104583	CORO1B	ENST00000537042
A_23_P104594	SCT	ENST00000176195
A_23_P104607	PSMC3	ENST00000298852
A_23_P104617	GYLTL1B	ENST00000530437
A_23_P10463	NDUFS5	ENST00000372969
A_23_P104641	C11orf2	ENST00000534591
A_23_P104651	CDCA5	ENST00000275517
A_23_P104689	RELA	
A_23_P104692	PELI3	
A_23_P104705	SLC29A2	ENST00000546034
A_23_P104734	STT3A	ENST00000525946
A_23_P104741	KIRREL3	ENST00000525144
A_23_P104762	YAP1	
A_23_P104798	IL18	ENST00000528832
A_23_P104804	ZBTB16	ENST00000539918
A_23_P104819	TREH	ENST00000531295
A_23_P104865		
A_23_P104876	SPA17	ENST00000524614
A_23_P104892	EIF4G2	ENST00000396525
A_23_P104942	TMX2	
A_23_P10497	ATP9B	ENST00000543761
A_23_P104972	MS4A5	ENST00000300190
A_23_P104996	BEST1	ENST00000524877
A_23_P105002	ROM1	ENST00000278833
A_23_P105012	HRASLS2	ENST00000255695
A_23_P105028	ATL3	
A_23_P105044	MRPL23	ENST00000381519
A_23_P10506	HPGDS	ENST00000295256
A_23_P105066	ILK	ENST00000527394
A_23_P105118	OR51G1	ENST00000321961
A_23_P105138	CAT	ENST00000241052
A_23_P105144	SCUBE2	ENST00000518447
A_23_P10518	TFDP3	ENST00000310125
A_23_P105227	ME3	ENST00000323418
A_23_P105251	GLI1	ENST00000546141
A_23_P105276	ZNF84	ENST00000543758
A_23_P105307	DGKA	
A_23_P105313	EIF2B1	ENST00000424014
A_23_P105368		
A_23_P105392	CCT2	ENST00000550010
A_23_P105409	MAP3K12	ENST00000552365
A_23_P10542	HTRA3	ENST00000307358
A_23_P105436	PTPN11	ENST00000392597
A_23_P105465	CMKLR1	
A_23_P105495	TAS2R14	ENST00000381852
A_23_P105519	WBP11	ENST00000261167
A_23_P105524	PLCZ1	ENST00000539875
A_23_P105535	POC1B	
A_23_P105545	VAMP1	ENST00000535927
A_23_P105562	VWF	ENST00000261405
A_23_P105571	CHPT1	ENST00000550385
A_23_P10559	AATK	ENST00000374792
A_23_P105592	MVK	ENST00000447878
A_23_P1056	GPR89B	
A_23_P105619	TMEM116	ENST00000552801
A_23_P105625	COQ5	ENST00000288532
A_23_P105651	PDZRN4	ENST00000402685
A_23_P105664	CCDC59	ENST00000548126
A_23_P105691	GPRC5D	ENST00000396333
A_23_P105705	FGF6	ENST00000228837
A_23_P105730	MDM1	
A_23_P105747	APPL2	ENST00000547790
A_23_P105794	EPSTI1	ENST00000476830
A_23_P105833	BIVM	ENST00000257336
A_23_P105862	FRY	ENST00000380257
A_23_P105873	TRPC4	
A_23_P105900	BTF3P11	
A_23_P10591	METRNL	ENST00000320095
A_23_P105923	DIO3	ENST00000359323
A_23_P105957	ACTN1	ENST00000438964
A_23_P105963	AK7	ENST00000267584
A_23_P105973	SERPINA11	ENST00000334708
A_23_P106002	NFKBIA	ENST00000554001
A_23_P106016	PRKD1	ENST00000331968
A_23_P106024	JAG2	ENST00000546616
A_23_P106042	CMTM5	ENST00000553750
A_23_P106056	DAD1	ENST00000535847
A_23_P106069		ENST00000390428
A_23_P106080	RNASE7	ENST00000481538
A_23_P106103	AKAP5	ENST00000394718
A_23_P106117	SIX6	ENST00000327720
A_23_P106127	KIAA0586	
A_23_P106145	ERO1L	ENST00000555069
A_23_P106158	L2HGDH	ENST00000261699
A_23_P106174	PSEN1	ENST00000394157
A_23_P106194	FOS	ENST00000303562
A_23_P106204	GSTZ1	ENST00000361389
A_23_P106236	PRO1768	
A_23_P106241	TRIP11	ENST00000542257
A_23_P106258	SLC25A47	ENST00000361529
A_23_P106299	SERF2	
A_23_P106362	AQP9	ENST00000219919
A_23_P106371	GOLGA6A	
A_23_P106389	SEMA7A	ENST00000543145
A_23_P106391	THAP10	ENST00000249861
A_23_P106405	NDN	ENST00000331837
A_23_P106433	RCCD1	ENST00000557266
A_23_P106463	OAZ2	ENST00000403937
A_23_P10647	CYTL1	ENST00000307746
A_23_P106481	TMEM85	ENST00000267750
A_23_P106505	LCMT2	ENST00000305641
A_23_P106544	C16orf61	ENST00000219400
A_23_P106562	GALNS	ENST00000439266
A_23_P106602	CRISPLD2	ENST00000262424
A_23_P106617	WFDC1	ENST00000219454
A_23_P106633	DDX28	ENST00000332395
A_23_P106656	CA7	ENST00000548332
A_23_P106661	CMTM1	
A_23_P106675	PLCG2	ENST00000359376
A_23_P106682	EMP2	ENST00000359543
A_23_P106694	CHMP1A	ENST00000253475
A_23_P106708	RPS2	ENST00000531065
A_23_P106720	TBL3	ENST00000332704
A_23_P106727	RAB11FIP3	ENST00000457159
A_23_P106737	LUC7L	ENST00000418978
A_23_P106741	PSMD7	
A_23_P106761	CORO1A	ENST00000219150
A_23_P106773	SULT1A2	ENST00000395630
A_23_P106798	SIAH1	ENST00000356721
A_23_P106806	PRSS27	ENST00000543965
A_23_P106822	NOB1	ENST00000268802
A_23_P106835	BBS2	ENST00000245157
A_23_P106844	MT2A	ENST00000245185
A_23_P10685	HSPBP1	ENST00000376343
A_23_P106859	COX4NB	ENST00000253457
A_23_P106874	PMFBP1	ENST00000379073
A_23_P106887	FUS	
A_23_P106898	ORAI3	ENST00000318663
A_23_P106906	PPL	ENST00000345988
A_23_P106922	CHST6	ENST00000332272
A_23_P106933	ACSM1	ENST00000520010
A_23_P106973	SEPT9	
A_23_P106998	MRPS23	ENST00000313608
A_23_P107036	TMEM11	ENST00000317635
A_23_P107051	TCAP	ENST00000309889
A_23_P107073	RPA1	ENST00000254719
A_23_P107102	KIF2B	ENST00000416491
A_23_P107116	RNF112	
A_23_P107132	RCVRN	
A_23_P107166	ACBD4	
A_23_P107173	MEOX1	ENST00000329168
A_23_P1072	ATP1A1	ENST00000537345
A_23_P107211	RAB5C	ENST00000393860
A_23_P107247	CACNA1G	
A_23_P107283	HOXB2	ENST00000330070
A_23_P107307	SLC13A2	
A_23_P107313	SDF2	ENST00000491945
A_23_P107322	CORO6	ENST00000467534
A_23_P107336	ACAP1	ENST00000158762
A_23_P107412	P4HB	ENST00000436463
A_23_P107421	TK1	ENST00000405273
A_23_P10743	PDE6B	ENST00000496514
A_23_P107432		ENST00000407600
A_23_P107454	KRTAP3-1	ENST00000391588
A_23_P107465	KRT31	ENST00000251645
A_23_P107483	OR3A3	ENST00000291231
A_23_P107513	CEP76	ENST00000423709
A_23_P107587	NPC1	ENST00000412552
A_23_P107612	RAB27B	ENST00000262094
A_23_P107623	SERPINB12	ENST00000269491
A_23_P107644	SNRPD1	ENST00000300413
A_23_P107653	ETFB	ENST00000354232
A_23_P107661	PPP2R1A	ENST00000423369
A_23_P107684	ZNF324	ENST00000196482
A_23_P107693	ZNF586	ENST00000449441
A_23_P107724	ZFP112	ENST00000337401
A_23_P107735	CD79A	ENST00000221972
A_23_P107744	S1PR5	ENST00000359134
A_23_P107775	TMEM190	ENST00000291934
A_23_P107795	ATP5SL	
A_23_P107801	C19orf44	ENST00000221671
A_23_P10785	VTI1A	ENST00000393077
A_23_P107855	FIZ1	ENST00000221665
A_23_P107933	VRK3	ENST00000424804
A_23_P107963	FUT1	ENST00000310160
A_23_P107981	SULT2B1	ENST00000323090
A_23_P107994	TMEM160	ENST00000253047
A_23_P108028	ZNF146	ENST00000443387
A_23_P108075	SLC7A10	ENST00000253188
A_23_P108082	CREB3L3	ENST00000078445
A_23_P10815	PUM1	ENST00000257075
A_23_P108157	TJP3	ENST00000262968
A_23_P108221	TSSK6	
A_23_P108244	COX6B1	ENST00000392201
A_23_P108265	OR7C2	ENST00000248072
A_23_P108280	CYP4F12	ENST00000324632
A_23_P108294	PPAP2C	ENST00000327790
A_23_P1083	GJA4	ENST00000342280
A_23_P108303	NDUFA7	ENST00000301457
A_23_P108342	ZNF571	ENST00000358744
A_23_P108376	THADA	ENST00000467668
A_23_P108404	AGAP1	ENST00000304032
A_23_P108437	FZD5	ENST00000295417
A_23_P108492	MARS2	ENST00000499940
A_23_P108501	EPHA4	ENST00000392071
A_23_P108514	STK16	ENST00000396738
A_23_P108546	REG1P	ENST00000444841
A_23_P108554	DDX1	ENST00000381341
A_23_P108564	B3GALT1	ENST00000305861
A_23_P10858	ANKLE2	ENST00000539605
A_23_P108641	FAM136A	ENST00000460307
A_23_P108657	WDSUB1	ENST00000409990
A_23_P108662	MOGS	ENST00000462189
A_23_P108673	FAM176A	ENST00000410113
A_23_P108699	FSHR	ENST00000541117
A_23_P10870	DOLK	ENST00000515348
A_23_P108708	RNF181	ENST00000461845
A_23_P10873	TLR1	ENST00000502213
A_23_P108734	ALLC	ENST00000471711
A_23_P108743	XIRP2	
A_23_P108751	FHL2	
A_23_P108761	C2orf29	ENST00000289382
A_23_P108785	ACTR3	ENST00000478928
A_23_P108823	OSBPL6	
A_23_P108835	YPEL5	
A_23_P108922	MOB1A	ENST00000396049
A_23_P108932	RPL23AP32	
A_23_P108948	MREG	ENST00000423087
A_23_P109026	KCNK15	ENST00000372861
A_23_P109034	SDC4	ENST00000372733
A_23_P109055	TP53RK	ENST00000372102
A_23_P109072	SALL4	ENST00000371539
A_23_P10911	PLBD2	ENST00000280800
A_23_P109133	AVP	ENST00000380293
A_23_P109143	PRNP	
A_23_P109171	BFSP1	ENST00000536626
A_23_P109184	INSM1	ENST00000310227
A_23_P109229	SUN5	ENST00000375519
A_23_P109235	RALY	ENST00000493399
A_23_P109254	RBM39	
A_23_P109269	LAMA5	ENST00000495695
A_23_P109286	GRIK1	ENST00000541508
A_23_P109322	PCP4	ENST00000468717
A_23_P109333	C21orf33	ENST00000291577
A_23_P109345	PTTG1IP	ENST00000330938
A_23_P10936	KRTAP4-1	ENST00000398472
A_23_P109382	GSC2	ENST00000086933
A_23_P109410	THAP7	ENST00000399133
A_23_P109420	BMS1	ENST00000374518
A_23_P109427	GSTT2	ENST00000290765
A_23_P109442	HPS4	ENST00000466781
A_23_P109452	CHEK2	
A_23_P109470	THOC5	
A_23_P109488	PIK3IP1	ENST00000402249
A_23_P109547	SMCR7L	ENST00000325301
A_23_P109593	TBC1D22A	ENST00000355704
A_23_P109614	MOBP	ENST00000428261
A_23_P109636	LRIG1	ENST00000383702
A_23_P109677		
A_23_P109768	RNF7	
A_23_P109774	ZBTB11	ENST00000312938
A_23_P109785	NR1I2	ENST00000493757
A_23_P10980	LPHN3	ENST00000502815
A_23_P109821	TADA3	ENST00000492103
A_23_P109877	WDR82	ENST00000487402
A_23_P109881	ITIH4	ENST00000538421
A_23_P109895	SLC26A6	
A_23_P109907	ILDR1	ENST00000344209
A_23_P109913	CXCR6	ENST00000438735
A_23_P109928	PSMD6	ENST00000497315
A_23_P10995	RBMS3	ENST00000497319
A_23_P109964	CCDC54	ENST00000261058
A_23_P110005	NICN1	ENST00000430622
A_23_P11005	ADAMTS7	ENST00000388820
A_23_P110052	FOXL2	ENST00000542203
A_23_P110062	EIF2B5	ENST00000492226
A_23_P110076	WDR53	ENST00000332629
A_23_P110167	MGST2	
A_23_P110184	MSMO1	ENST00000393766
A_23_P110196	HERC5	ENST00000502913
A_23_P1102	ACTA1	ENST00000366682
A_23_P110212	ACSL1	ENST00000281455
A_23_P110234	CSN1S1	ENST00000505782
A_23_P110243	METTL14	ENST00000388822
A_23_P11025	ZNF185	
A_23_P110253	KIT	ENST00000288135
A_23_P110266	NDNF	ENST00000379692
A_23_P110276	AFAP1-AS1	
A_23_P110288	GSTCD	ENST00000484843
A_23_P110299	TACR3	
A_23_P110319	CWH43	ENST00000226432
A_23_P11032	SLC9A7	ENST00000491894
A_23_P110345	CHIC2	ENST00000263921
A_23_P110362	LAMTOR3	ENST00000515100
A_23_P110403	PDLIM3	ENST00000284767
A_23_P110412	TMEM150C	ENST00000449862
A_23_P110430	MSX1	ENST00000382723
A_23_P110433	PPWD1	ENST00000510930
A_23_P110445	APBB3	
A_23_P110462	PCDHB1	ENST00000306549
A_23_P110473	NAIP	ENST00000517649
A_23_P110492	MARCH6	ENST00000274140
A_23_P110504	CLPTM1L	ENST00000503534
A_23_P110531	FST	ENST00000511025
A_23_P110569	TRIM36	ENST00000282369
A_23_P110571	MAST4	ENST00000261569
A_23_P110606	MAML1	ENST00000292599
A_23_P110624	CTNND2	ENST00000538638
A_23_P110643	CDKL3	ENST00000435211
A_23_P110661	SKIV2L2	ENST00000506750
A_23_P110699	ZNF300	ENST00000394226
A_23_P11070	GPR174	ENST00000276077
A_23_P110712	DUSP1	ENST00000457103
A_23_P110764	MYOT	ENST00000421631
A_23_P110777	LECT2	ENST00000274507
A_23_P110791	CSF1R	ENST00000286301
A_23_P110802	CENPH	ENST00000283006
A_23_P11081	AKAP4	ENST00000376064
A_23_P110811	COX7C	ENST00000509578
A_23_P110837	IRX4	ENST00000505790
A_23_P110846	CNOT8	ENST00000517876
A_23_P110851	TERT	ENST00000296820
A_23_P110879	TRAF3IP2	
A_23_P110882	TSPYL4	ENST00000420283
A_23_P110941	GSTA4	ENST00000370960
A_23_P110957	FOXF2	ENST00000259806
A_23_P110961	BRP44L	ENST00000341756
A_23_P111000	PSMB9	ENST00000413480
A_23_P111005	YIPF3	ENST00000259737
A_23_P11103	BMP15	ENST00000252677
A_23_P111037	HIST1H3A	ENST00000357647
A_23_P111041	HIST1H2BI	ENST00000377733
A_23_P111054	HIST1H2BB	ENST00000357905
A_23_P111088	OR2B2	ENST00000303324
A_23_P111092	OR2H1	ENST00000461453
A_23_P111112	VARS2	ENST00000541562
A_23_P111132	HSPA1A	ENST00000375651
A_23_P111141	BAG6	
A_23_P111155	ZBTB12	ENST00000375527
A_23_P111188	ZBTB22	ENST00000383196
A_23_P111194	SPDEF	ENST00000544425
A_23_P111228	COQ3	ENST00000254759
A_23_P111240	PHACTR2	
A_23_P111273	TBC1D7	
A_23_P111288	TMEM14C	ENST00000541412
A_23_P111297	RPP40	ENST00000464646
A_23_P111303	SCAF8	ENST00000417268
A_23_P111311	AKAP12	ENST00000253332
A_23_P111343	BCLAF1	ENST00000526228
A_23_P111361	PPIL6	ENST00000521072
A_23_P111381	ATG5	ENST00000360666
A_23_P111395	SLC22A2	ENST00000498556
A_23_P111402	RSPO3	ENST00000356698
A_23_P111452	AGAP3	ENST00000473633
A_23_P111481	SRRT	
A_23_P111487	SRRT	
A_23_P111492	MOSPD3	ENST00000490309
A_23_P111517	WBSCR17	ENST00000467723
A_23_P111583	CD36	
A_23_P11160	MAP7D3	ENST00000370663
A_23_P111604	NXPH1	ENST00000405863
A_23_P111621	GTF2IRD1	ENST00000486086
A_23_P111635	STYXL1	ENST00000460184
A_23_P111657	SHH	
A_23_P111662	ABCB5	ENST00000258738
A_23_P111672	TES	ENST00000257721
A_23_P111701	GNG11	ENST00000248564
A_23_P111724	RUNDC3B	ENST00000493037
A_23_P111737	RAMP3	ENST00000242249
A_23_P111753	MRPL32	ENST00000432845
A_23_P111797	DKFZP434F142	
A_23_P111804	PARP12	ENST00000488726
A_23_P111811	ING3	ENST00000427726
A_23_P111843	ZNHIT1	ENST00000485387
A_23_P111860	RADIL	ENST00000316919
A_23_P111865	ZSCAN21	ENST00000292450
A_23_P111888	CTHRC1	ENST00000297577
A_23_P111919	PURG	ENST00000475541
A_23_P111929	OTUD6B	ENST00000524027
A_23_P111947	CDH17	ENST00000027335
A_23_P111961	MAK16	ENST00000360128
A_23_P111978	KCNK9	ENST00000303015
A_23_P111981	LYNX1	ENST00000398906
A_23_P111995	LOXL2	ENST00000389131
A_23_P112004	LRRC6	ENST00000395414
A_23_P11201	GPR34	ENST00000535368
A_23_P112016	DLC1	ENST00000517868
A_23_P112026	IDO1	ENST00000523779
A_23_P112061	HGSNAT	ENST00000458501
A_23_P112086	DEFA5	ENST00000330590
A_23_P112103	GSDMD	ENST00000534602
A_23_P112113	KIAA0196	ENST00000318410
A_23_P112135	TRAM1	ENST00000262213
A_23_P11214	NKRF	ENST00000542113
A_23_P112159	EIF2C2	ENST00000519980
A_23_P112162	DGAT1	ENST00000528718
A_23_P112173	SLC24A2	ENST00000341998
A_23_P112187	FIBCD1	ENST00000372338
A_23_P112201	KDM4C	ENST00000381309
A_23_P112220	INSL4	
A_23_P11224	MMGT1	ENST00000433339
A_23_P112241	DNAJB5	ENST00000335998
A_23_P112251	GNG10	ENST00000374293
A_23_P112260	GNG10	ENST00000374293
A_23_P112289	TMOD1	ENST00000259365
A_23_P112296	DBH	ENST00000393056
A_23_P112311	TRIM32	ENST00000450136
A_23_P112327	OBP2A	ENST00000340780
A_23_P112341	RMI1	ENST00000325875
A_23_P11237	TAF1	ENST00000395779
A_23_P112397	FBXW5	ENST00000483559
A_23_P112406	GTF3C5	ENST00000372097
A_23_P112412	TEX10	ENST00000444730
A_23_P112429	RPL35	ENST00000348462
A_23_P112452	GGTA1P	ENST00000373793
A_23_P112478	NUDT2	
A_23_P112482	AQP3	ENST00000494313
A_23_P112512	MCART1	
A_23_P112531	FAM102A	ENST00000300434
A_23_P112548	HDHD3	ENST00000485934
A_23_P112554	COL15A1	ENST00000375001
A_23_P11256	MAGEE2	ENST00000373359
