ID	GENE_SYMBOL	ENSEMBL_ID
(+)E1A_r60_1		
(+)E1A_r60_3		
(+)E1A_r60_a104		
(+)E1A_r60_a107		
(+)E1A_r60_a135		
(+)E1A_r60_a20		
(+)E1A_r60_a22		
(+)E1A_r60_a97		
(+)E1A_r60_n11		
(+)E1A_r60_n9		
(-)3xSLv1		
A_23_P36408	VPS33A	ENST00000543633
A_23_P364107	MIS18BP1	ENST00000470424
A_23_P3643	DNASE1L2	ENST00000320700
A_23_P364324	ABCA13	ENST00000435803
A_23_P364355		ENST00000390361
A_23_P36439		ENST00000321688
A_23_P364414	PCDHGA9	
A_23_P364437	CDH23	
A_23_P364444	FAM65C	ENST00000462493
A_23_P364465	GPBP1	
A_23_P364478	FAM175B	ENST00000298492
A_23_P364517	SELK	ENST00000488746
A_23_P364544	C12orf60	ENST00000330828
A_23_P364567	CLRN1	ENST00000468836
A_23_P364613	HOGA1	ENST00000370646
A_23_P364625	LRRC19	ENST00000380055
A_23_P36464	C12orf11	ENST00000335745
A_23_P364766	C20orf94	ENST00000334534
A_23_P364792	TXLNG2P	ENST00000251749
A_23_P364837	VPS13D	ENST00000358136
A_23_P36484	RDH16	ENST00000360752
A_23_P364890	RNF40	ENST00000402121
A_23_P365060	MDN1	ENST00000428876
A_23_P365086	ANKRD5	ENST00000378392
A_23_P36513	PRKAG1	ENST00000551259
A_23_P365149	BCKDK	ENST00000394951
A_23_P365189	CAMTA2	
A_23_P365201	OTOP3	ENST00000328801
A_23_P365218	GPR110	ENST00000493249
A_23_P365226	FAM161B	ENST00000534936
A_23_P365248	KCNG4	ENST00000308251
A_23_P36531	TSPAN8	ENST00000546561
A_23_P365327	UBE2CBP	ENST00000369746
A_23_P365412	MFSD4	ENST00000367147
A_23_P365418	ZNF783	ENST00000434415
A_23_P365614	NOTCH4	ENST00000437843
A_23_P36562	ITGA5	ENST00000552564
A_23_P365719	TAPBP	ENST00000551943
A_23_P365725	MRGPRX1	ENST00000302797
A_23_P365738	ARC	ENST00000356613
A_23_P365767	CACNA1D	ENST00000350061
A_23_P365817	PPP1R14B	ENST00000309318
A_23_P365844	EID2	ENST00000539700
A_23_P366035	ABHD12B	ENST00000554566
A_23_P366098	NUP210L	ENST00000271854
A_23_P36611	APAF1	
A_23_P366125	EME2	
A_23_P366216	HIST1H2BH	ENST00000356350
A_23_P366230	LATS1	ENST00000253339
A_23_P36624	TAS2R7	ENST00000240687
A_23_P3663	FAM195A	ENST00000491999
A_23_P366328	VPS37A	ENST00000521829
A_23_P366366	SCRN1	
A_23_P366376	TDGF1	ENST00000542931
A_23_P366394	ZAK	ENST00000375213
A_23_P36641	AICDA	ENST00000229335
A_23_P366453	KHDRBS2	ENST00000281156
A_23_P36647	TMUB2	ENST00000319511
A_23_P36658	MGST1	
A_23_P366682	C19orf20	ENST00000388800
A_23_P366726	SLC25A35	ENST00000380067
A_23_P366812	AQP5	ENST00000553132
A_23_P36689	LRRC23	ENST00000486401
A_23_P366936	KRT6C	ENST00000411979
A_23_P366983	TRHDE	ENST00000261180
A_23_P36700	TAPBPL	ENST00000543567
A_23_P367013	TAS2R60	ENST00000332690
A_23_P367043	CDC14C	
A_23_P367071	UBE2DNL	ENST00000442533
A_23_P36724	FBXL14	ENST00000339235
A_23_P367405	PCBD1	ENST00000299299
A_23_P367420	ADAM21	ENST00000267499
A_23_P36753	ALDH2	ENST00000261733
A_23_P367586	DNHD1	ENST00000472080
A_23_P367628	KIAA0528	ENST00000333957
A_23_P367663		ENST00000414544
A_23_P367676	SIN3A	ENST00000360439
A_23_P367816	SNX29	ENST00000306030
A_23_P367899	EPOR	ENST00000222139
A_23_P36795	SYT1	ENST00000393240
A_23_P368067	TAP2	ENST00000374899
A_23_P3681	NETO2	ENST00000303155
A_23_P368101	SAP30L	
A_23_P368126	AHCYL1	
A_23_P368145	GORAB	ENST00000498600
A_23_P368154	PODN	
A_23_P368195	LSM11	
A_23_P368225	EME1	ENST00000338165
A_23_P36825	GPRC5A	ENST00000542056
A_23_P368259	EID2B	ENST00000326282
A_23_P368278	FCHSD2	ENST00000311172
A_23_P368338	BET3L	ENST00000368602
A_23_P368393	SF3B1	ENST00000414963
A_23_P368484	C17orf76	ENST00000409887
A_23_P368558	TMEM131	ENST00000186436
A_23_P368645	AGPS	ENST00000264167
A_23_P36865	CEP290	ENST00000552810
A_23_P368681	GIMAP2	ENST00000223293
A_23_P368691	ABCC9	ENST00000261201
A_23_P368711	LILRB3	ENST00000469273
A_23_P368718	SPRYD7	ENST00000495454
A_23_P368740	HDAC10	ENST00000497036
A_23_P368773	ZNF560	ENST00000301480
A_23_P368779	ZNF114	ENST00000315849
A_23_P368794	TCERG1L	ENST00000483040
A_23_P368805	HHLA2	ENST00000357759
A_23_P36882	NTS	ENST00000256010
A_23_P368847	WFDC10A	ENST00000372643
A_23_P368870	C12orf37	
A_23_P36888	FAM113B	ENST00000432328
A_23_P368886	CHSY3	ENST00000305031
A_23_P368896	SNX12	ENST00000276105
A_23_P368909	LINC00346	ENST00000538077
A_23_P368934	FBRSL1	ENST00000434748
A_23_P368996	LRRC56	ENST00000270115
A_23_P36905	MLNR	ENST00000398307
A_23_P369090	DUSP15	ENST00000278979
A_23_P369237	ADIPOQ	ENST00000412955
A_23_P36928	POLR1D	ENST00000399696
A_23_P369328	C10orf35	ENST00000373279
A_23_P369343	KLK8	
A_23_P369344	C1orf65	ENST00000366875
A_23_P36939	NUFIP1	ENST00000379161
A_23_P369456	SYS1	ENST00000243918
A_23_P369471	LCE3A	ENST00000335674
A_23_P369479	MSI2	ENST00000322684
A_23_P369485	MGC45800	
A_23_P369641	C8orf73	ENST00000533120
A_23_P369654	EFR3B	ENST00000401432
A_23_P369666	ZMYND8	ENST00000468376
A_23_P369701	FAM108C1	ENST00000258884
A_23_P36972	ZIC2	ENST00000376335
A_23_P369733	RANBP10	ENST00000317506
A_23_P369746		
A_23_P369815	FASLG	ENST00000367721
A_23_P36985	PCDH8	ENST00000338862
A_23_P369899	TMEM158	ENST00000503771
A_23_P369983	FAM98C	ENST00000252530
A_23_P369987	KIAA0317	ENST00000555330
A_23_P369994	DCLK1	ENST00000255448
A_23_P37005	MTRF1	ENST00000379477
A_23_P370054	MAGEB18	ENST00000325250
A_23_P370097	TMEM237	ENST00000409099
A_23_P370142	PAFAH1B2	ENST00000527958
A_23_P370147		ENST00000316517
A_23_P370162	XRRA1	ENST00000531849
A_23_P370434	C1QBP	ENST00000225698
A_23_P370454	KCNAB3	ENST00000303790
A_23_P370479	POFUT1	ENST00000375749
A_23_P370494	PCDHGB7	
A_23_P370544	ANKAR	ENST00000520309
A_23_P370569	C12orf66	ENST00000398055
A_23_P370574	KIR3DL3	ENST00000291860
A_23_P370588	HOXB8	
A_23_P370625	SEPN1	ENST00000374315
A_23_P370666	GLYATL1	ENST00000534119
A_23_P37068	TRAF3	
A_23_P370682	BATF2	ENST00000527454
A_23_P370684	TIGD4	ENST00000304337
A_23_P370733	tAKR	
A_23_P370786	OR2L13	ENST00000366478
A_23_P370830	KLHL14	ENST00000359358
A_23_P37088	RDH12	ENST00000267502
A_23_P370924	C3orf78	ENST00000482728
A_23_P370989	MCM4	ENST00000521151
A_23_P371011	ZNF227	ENST00000377916
A_23_P371039	NTSR1	ENST00000370501
A_23_P371076	KLF12	ENST00000472022
A_23_P371129	SLX4	ENST00000294008
A_23_P371145	ADPRHL1	ENST00000375418
A_23_P371168	TRIM60	ENST00000508504
A_23_P371215	ICOS	ENST00000316386
A_23_P371239	CMIP	ENST00000537098
A_23_P371254	TAS2R43	ENST00000531678
A_23_P371266	DNM3	ENST00000359070
A_23_P37127	FOXA1	ENST00000250448
A_23_P371410	PRKACB	ENST00000370680
A_23_P37144	C14orf126	ENST00000310850
A_23_P371613	CHCHD1	ENST00000372837
A_23_P37167	MYH6	ENST00000356287
A_23_P371682	GPC6	ENST00000377047
A_23_P371729	GJA5	ENST00000369237
A_23_P371758	SDR9C7	ENST00000293502
A_23_P371765	C21orf56	ENST00000291672
A_23_P371777	ACE	ENST00000490216
A_23_P371787	KIAA0247	ENST00000342745
A_23_P371824	TUFT1	ENST00000507671
A_23_P371835	GATA5	ENST00000252997
A_23_P371861	CNBD1	ENST00000518476
A_23_P371865	CDYL2	ENST00000299564
A_23_P371876	ALKBH8	ENST00000417449
A_23_P371885	ARL17A	ENST00000337845
A_23_P37191	PSMB5	ENST00000425762
A_23_P372096		ENST00000375678
A_23_P372144	C19orf29	ENST00000221899
A_23_P372255	ITPKB	ENST00000429204
A_23_P372308	RGMA	
A_23_P37231	OR11G2	ENST00000357366
A_23_P372331	TRNT1	ENST00000434583
A_23_P372334	CCDC12	ENST00000292314
A_23_P372356	C15orf32	ENST00000333334
A_23_P372368	BRWD1-IT2	
A_23_P372467	AHSA2	ENST00000484217
A_23_P372478	SERPINA9	ENST00000538527
A_23_P372638	CHD9	ENST00000398510
A_23_P37265	MUDENG	ENST00000261558
A_23_P372660	GAPVD1	ENST00000394104
A_23_P372771	C15orf17	ENST00000357635
A_23_P37283	CGRRF1	ENST00000557184
A_23_P372834	AQP1	
A_23_P372848	P2RX1	ENST00000225538
A_23_P372860	HIST1H2AC	ENST00000377791
A_23_P372874	S100A13	
A_23_P372923	FGFR1	
A_23_P372925	KIAA1737	ENST00000361786
A_23_P372946	TM4SF19	ENST00000442633
A_23_P372988	PRR22	ENST00000390672
A_23_P372994	H1FOO	ENST00000324382
A_23_P373031	CACNA1C	
A_23_P373054	C3orf23	ENST00000342649
A_23_P373079	PATL1	ENST00000300146
A_23_P373109	CNTNAP5	ENST00000431078
A_23_P373119	HMGB3P1	
A_23_P37327	ABCD4	ENST00000481935
A_23_P373464	AFF3	ENST00000409236
A_23_P37347	SNW1	ENST00000261531
A_23_P373521	HAND2	ENST00000503024
A_23_P373541	DSPP	ENST00000399271
A_23_P373568	FUZ	ENST00000313777
A_23_P373584	SGCZ	ENST00000382080
A_23_P37359	CIDEB	ENST00000541830
A_23_P373598	MAFK	ENST00000403150
A_23_P373619	IL28B	ENST00000413851
A_23_P373649	TIMM23	ENST00000476778
A_23_P373687	PUS10	ENST00000407787
A_23_P373708	KRT18P55	
A_23_P373724	PPFIBP1	
A_23_P373742	TRIML1	ENST00000332517
A_23_P37375	RPS6KA5	
A_23_P373799	CWC22	ENST00000295749
A_23_P37391	CCDC85C	ENST00000380243
A_23_P373927	ERP44	ENST00000262455
A_23_P374082	ADAM19	ENST00000257527
A_23_P37410	CYP19A1	ENST00000541721
A_23_P374149	FTSJD2	ENST00000491004
A_23_P37415	SECISBP2L	ENST00000380927
A_23_P374216	WFDC11	ENST00000324384
A_23_P374226	SSX7	ENST00000298181
A_23_P37424	SPATA5L1	ENST00000531970
A_23_P374281	CDC20B	ENST00000296733
A_23_P374288	CASC3	ENST00000394114
A_23_P374294	CCDC7	ENST00000476558
A_23_P374322	LACC1	ENST00000325686
A_23_P374351	KCTD20	ENST00000449081
A_23_P374389	PWWP2B	ENST00000368609
A_23_P37441	B2M	ENST00000396754
A_23_P374559	ZNRF4	ENST00000222033
A_23_P374689	GAD1	ENST00000478562
A_23_P374695	TEK	ENST00000488798
A_23_P374767	UBE2D4	ENST00000394798
A_23_P374782	SH3KBP1	ENST00000379698
A_23_P37484	CHSY1	ENST00000254190
A_23_P374844	GAL	ENST00000265643
A_23_P374892	CES1P1	
A_23_P374902	CLDND2	ENST00000291715
A_23_P374919	LRRC71	ENST00000337428
A_23_P375	CDCA8	ENST00000327331
A_23_P37514	C15orf39	ENST00000360639
A_23_P375147	RC3H2	ENST00000373670
A_23_P375165	TEX19	ENST00000333437
A_23_P375281	TRPV1	
A_23_P375354	TECTA	ENST00000264037
A_23_P375372	FGA	ENST00000403106
A_23_P375419	TTC16	ENST00000316259
A_23_P37545	AAGAB	ENST00000538028
A_23_P375524	LCE1D	ENST00000326233
A_23_P375549	FUNDC1	ENST00000483115
A_23_P375566	STXBP4	ENST00000299341
A_23_P37560	PEX11A	
A_23_P37569	MAN2A2	ENST00000360468
A_23_P375922	COL19A1	
A_23_P37598	NPTN	
A_23_P376036	EXD1	ENST00000314992
A_23_P376060	IKZF3	
A_23_P376088	LIME1	ENST00000476183
A_23_P376096	TICAM1	ENST00000248244
A_23_P376114	TAS2R46	ENST00000533467
A_23_P376124	RNASE8	ENST00000308227
A_23_P376172	C1orf64	
A_23_P376188	BEND7	ENST00000378605
A_23_P37623	GOLGA8A	
A_23_P376239	PAPOLA	ENST00000554666
A_23_P376372	MARVELD3	ENST00000299952
A_23_P376449		
A_23_P376488	TNF	ENST00000376122
A_23_P37654	MGA	ENST00000389936
A_23_P376557	MMP25	ENST00000336577
A_23_P376591	CLYBL	ENST00000339105
A_23_P376599	RALBP1	ENST00000383432
A_23_P376627	D2HGDH	ENST00000544929
A_23_P376661	NIT1	ENST00000492411
A_23_P376686	BTNL2	ENST00000374993
A_23_P376704	CIDEA	ENST00000320477
A_23_P376727	ACMSD	ENST00000283054
A_23_P376735	ZNF524	ENST00000301073
A_23_P376759	DUSP11	ENST00000272444
A_23_P37676	GPR176	ENST00000543580
A_23_P376799	FAM21C	
A_23_P376870	C14orf79	ENST00000548641
A_23_P37702	TPSAB1	ENST00000445910
A_23_P377094	PNMA3	ENST00000370264
A_23_P377141	VPS13A	ENST00000357409
A_23_P37718	CNGB1	ENST00000251102
A_23_P377212	MYEOV2	ENST00000307266
A_23_P377214	HEXIM2	ENST00000307275
A_23_P377245	LOC653160	ENST00000311990
A_23_P377291	TGFA	ENST00000295400
A_23_P377299	ECE2	
A_23_P377339	C4orf36	ENST00000504371
A_23_P37736	TNFRSF17	ENST00000435355
A_23_P377376	ACTR2	ENST00000377982
A_23_P377411	LOC100133130	
A_23_P377434	TNRC18	ENST00000430969
A_23_P3775	OGFOD1	ENST00000540727
A_23_P377616	CIRBP	ENST00000444172
A_23_P377629	FAM75C2	
A_23_P377664	ALS2	ENST00000467448
A_23_P377750	FGF10	
A_23_P37778	FHOD1	ENST00000258201
A_23_P377819	SRSF5	ENST00000556647
A_23_P377839	LINC00161	ENST00000412526
A_23_P377860	C21orf128	ENST00000329015
A_23_P377882	KCNH2	ENST00000430723
A_23_P377888	FAN1	ENST00000362065
A_23_P377965	C18orf18	
A_23_P377996	RNF180	ENST00000296615
A_23_P378288	IKZF4	ENST00000262032
A_23_P378416	GPM6B	ENST00000356942
A_23_P378427	STARD6	ENST00000307844
A_23_P378450	MBD3L2	
A_23_P378526	RTEL1	ENST00000496816
A_23_P378690	TMEM64	ENST00000458549
A_23_P37870	STUB1	ENST00000219548
A_23_P37877	NARFL	ENST00000540986
A_23_P37892	GPT2	ENST00000440783
A_23_P378926	ADRA2B	ENST00000409345
A_23_P379020	GNRHR2	ENST00000361928
A_23_P379026	GTPBP2	ENST00000307126
A_23_P379034	BAIAP2L2	ENST00000402500
A_23_P379054	CLDN19	ENST00000539749
A_23_P379071	FBXL13	ENST00000455112
A_23_P37910	MAPK3	ENST00000395202
A_23_P37914	SLC5A11	ENST00000539472
A_23_P379200	FMNL3	ENST00000335154
A_23_P379327	FAM63B	ENST00000316848
A_23_P37942	CLDN6	ENST00000328796
A_23_P379475	DHCR24	ENST00000371269
A_23_P37949	THOC6	ENST00000253952
A_23_P379550	YARS	ENST00000478828
A_23_P379601	KCNJ9	
A_23_P379614	OIP5	ENST00000220514
A_23_P379630	SLC38A10	ENST00000288439
A_23_P379649	BMF	
A_23_P379657	UBE2U	ENST00000464349
A_23_P379692	C14orf178	ENST00000556047
A_23_P379746	DENND5B	ENST00000354285
A_23_P379789	ST8SIA5	ENST00000315087
A_23_P379794	PIGW	ENST00000328396
A_23_P37983	MT1B	ENST00000334346
A_23_P37988	CPNE2	ENST00000535318
A_23_P37994	TP53TG3	
A_23_P379945	CCDC88C	ENST00000389857
A_23_P380010	STARD9	ENST00000290607
A_23_P38011	DHX38	ENST00000536867
A_23_P38015	FBRS	ENST00000543786
A_23_P380181	LMO4	ENST00000489303
A_23_P380208	VEPH1	ENST00000392832
A_23_P380240	CEACAM8	ENST00000244336
A_23_P380298	ProSAPiP1	ENST00000337576
A_23_P380309	C18orf26	ENST00000321600
A_23_P380318	EGR4	ENST00000436467
A_23_P380326	SLC39A9	
A_23_P380371	IPMK	ENST00000373935
A_23_P380379	CAPS2	ENST00000328705
A_23_P38041	NAGPA	ENST00000381955
A_23_P380526	DPPA4	ENST00000475135
A_23_P380614	ATP9A	ENST00000338821
A_23_P380724	FASTKD5	ENST00000380266
A_23_P380754	PRSS1	ENST00000485223
A_23_P380766	CDC42BPB	ENST00000361246
A_23_P380815	KIAA1279	ENST00000361983
A_23_P380857	APOL4	ENST00000479929
A_23_P380871	DEFB105B	ENST00000335510
A_23_P380881	ANKRD13B	ENST00000493506
A_23_P380901	PTH2R	ENST00000413482
A_23_P380917	SEC11A	ENST00000455959
A_23_P380928	ARPC4-TTLL3	ENST00000493241
A_23_P380951	ZNF420	ENST00000337995
A_23_P380965	JKAMP	ENST00000554721
A_23_P380990	CLEC4F	ENST00000272367
A_23_P380998	R3HDM1	ENST00000329971
A_23_P381017	WBSCR27	ENST00000297873
A_23_P381102	CCDC74B	ENST00000392984
A_23_P381172	MRAP	ENST00000399786
A_23_P381203	KIAA0556	ENST00000261588
A_23_P381261	ADCY4	ENST00000554781
A_23_P381351	CSH1	
A_23_P381368	HOXD10	ENST00000249501
A_23_P381449	SP2	ENST00000376741
A_23_P381461	LRRC45	ENST00000306688
A_23_P381478	CCDC27	ENST00000462521
A_23_P381489	LINC00313	
A_23_P381505	VWDE	ENST00000541006
A_23_P38154	FDXR	ENST00000455107
A_23_P381577	ZNF25	ENST00000302609
A_23_P38167	GPRC5C	ENST00000342648
A_23_P381714	CA13	ENST00000321764
A_23_P381746	ASXL3	ENST00000269197
A_23_P38181	GGA3	
A_23_P3819	ZNF747	
A_23_P38190	ORMDL3	ENST00000394169
A_23_P382000	AKR1D1	ENST00000242375
A_23_P382043	NT5DC1	ENST00000319550
A_23_P382045	TULP4	ENST00000367097
A_23_P38206	LSMD1	ENST00000333775
A_23_P382065	EMCN	ENST00000305864
A_23_P382094	LINC00052	
A_23_P382188	STAP2	ENST00000424810
A_23_P38219	PRPF8	ENST00000540177
A_23_P382199	VAPA	ENST00000340541
A_23_P382240	TMEM26	ENST00000399293
A_23_P3823	BCKDK	ENST00000394951
A_23_P38244	APOH	ENST00000205948
A_23_P382488	LRRC16B	ENST00000342740
A_23_P382506	OR1F2P	
A_23_P38254	ELAC2	ENST00000395962
A_23_P382602	BCL9	ENST00000234739
A_23_P382682	NOXRED1	ENST00000555603
A_23_P382705	TMTC2	ENST00000321196
A_23_P38271	MYH2	ENST00000397183
A_23_P382775	BBC3	
A_23_P382794	TAS2R20	ENST00000538986
A_23_P382811	SNX31	ENST00000428383
A_23_P382835	P2RY1	ENST00000305097
A_23_P383009	IGFBP5	ENST00000233813
A_23_P383031	CC2D1B	ENST00000371586
A_23_P38304	CD300LG	
A_23_P383118	ZSWIM5	ENST00000359600
A_23_P383132	HIC2	ENST00000443632
A_23_P383227	S100A1	ENST00000368698
A_23_P383258	GDA	
A_23_P383278	PYCRL	ENST00000220966
A_23_P38328	DBF4B	ENST00000439818
A_23_P383325	CCDC110	ENST00000307588
A_23_P383422	NFKBID	ENST00000396901
A_23_P383435	ZNHIT3	ENST00000225410
A_23_P38346	DHX58	ENST00000423748
A_23_P383590	LOC339524	
A_23_P383601	FLJ31306	ENST00000554360
A_23_P38365	TLK2	ENST00000542523
A_23_P383679	HYDIN	ENST00000316490
A_23_P383688	AARS2	ENST00000244571
A_23_P383819	TBX3	ENST00000257566
A_23_P383915	BTBD16	ENST00000368994
A_23_P383977	SNAPC5	ENST00000395589
A_23_P383986	CHST15	ENST00000435907
A_23_P384023	GLIS3	ENST00000474483
A_23_P384044	CNIH3	ENST00000272133
A_23_P384056	CCDC14	ENST00000489746
A_23_P38408	GGNBP2	ENST00000304718
A_23_P38427	RAB11FIP4	ENST00000325874
A_23_P384329	DENND4A	ENST00000443035
A_23_P38446	TNFAIP1	ENST00000226225
A_23_P384499	RPTOR	ENST00000306801
A_23_P384517	GYG1	ENST00000345003
A_23_P384532	CCDC11	ENST00000398545
A_23_P384551		ENST00000370520
A_23_P38457	TAOK1	ENST00000536202
A_23_P384635	DZIP1L	ENST00000327532
A_23_P384650	NXNL1	ENST00000301944
A_23_P38468	TAX1BP3	ENST00000550383
A_23_P384698		ENST00000326237
A_23_P384748	PLEKHH2	ENST00000282406
A_23_P384761	GATA4	ENST00000335135
A_23_P38482	PHF23	ENST00000454255
A_23_P384857		
A_23_P3849	TRAP1	ENST00000538171
A_23_P38497	SLC25A11	ENST00000544061
A_23_P385017	G6PC	ENST00000253801
A_23_P385034	E2F3	ENST00000346618
A_23_P38505	CXCL16	ENST00000293778
A_23_P385063	DNAJB6	ENST00000452797
A_23_P385067	CLIC6	ENST00000360731
A_23_P385081	SCAMP2	
A_23_P385105	PLCD4	ENST00000473443
A_23_P385126	DEPDC7	ENST00000311388
A_23_P385199	EPHA10	ENST00000319637
A_23_P385206	STX12	ENST00000373943
A_23_P385217	ARL8B	ENST00000438743
A_23_P385246	KCTD6	ENST00000490264
A_23_P385263	CHD5	ENST00000538279
A_23_P385322	STAMBPL1	ENST00000371926
A_23_P38537	KRT16	ENST00000301653
A_23_P385427		
A_23_P385500	RNF166	ENST00000541206
A_23_P3856	ZFP1	ENST00000464850
A_23_P38567	SPECC1	ENST00000395525
A_23_P385690	WNT3A	ENST00000284523
A_23_P385766	ANKS4B	ENST00000311620
A_23_P385771	PAOX	ENST00000357296
A_23_P385790	FAM9C	ENST00000438997
A_23_P385835	GPR27	
A_23_P38584	KRT27	ENST00000301656
A_23_P385843	DEFB127	ENST00000382388
A_23_P385861	CDCA2	ENST00000435898
A_23_P385911	CEP44	ENST00000396791
A_23_P385938	PAN3	ENST00000399613
A_23_P38603	KRTAP4-4	ENST00000390661
A_23_P386168	PRR24	ENST00000552360
A_23_P38618	PIGL	ENST00000225609
A_23_P386241	FAM110A	ENST00000304189
A_23_P386254	NKX3-2	ENST00000382438
A_23_P386268	C4orf26	ENST00000311623
A_23_P386310	HRH4	ENST00000426880
A_23_P386320	MFI2	ENST00000296351
A_23_P38634	OR1G1	ENST00000328890
A_23_P386356	KIF12	ENST00000259410
A_23_P386364	HDX	ENST00000373177
A_23_P386384	C1orf87	ENST00000395552
A_23_P386411	PPID	ENST00000307720
A_23_P386420	GTF2H3	ENST00000542231
A_23_P386442	KIAA0087	ENST00000242109
A_23_P386450	POLK	ENST00000506928
A_23_P386478	TNIP3	ENST00000511909
A_23_P38649	MC2R	ENST00000399821
A_23_P386561	TWISTNB	ENST00000222567
A_23_P386764	DOLPP1	ENST00000372546
A_23_P38677	SLMO1	ENST00000440960
A_23_P386888	LPA	ENST00000435757
A_23_P386905	UBXN6	ENST00000301281
A_23_P386912	UGT2B4	ENST00000506580
A_23_P386942	DIRAS1	ENST00000323469
A_23_P38696	DSC1	ENST00000257197
A_23_P386964	C4orf45	ENST00000505647
A_23_P386973	TFAP2D	ENST00000008391
A_23_P387000	XKR6	ENST00000304437
A_23_P387031	COL23A1	ENST00000390654
A_23_P387045	CCDC107	ENST00000378407
A_23_P387057	TUBB	ENST00000400534
A_23_P387071	ZNF830	ENST00000361952
A_23_P387184	NHSL1	ENST00000343505
A_23_P38723	SMCHD1	ENST00000320876
A_23_P38732	CDH2	ENST00000269141
A_23_P38735	CDH19	
A_23_P387471	MICB	ENST00000443156
A_23_P387523	ZBTB40	ENST00000375647
A_23_P387537	PRRG3	ENST00000538575
A_23_P387552	RARG	
A_23_P387585	LINC00246A	
A_23_P387630	STARD8	ENST00000374597
A_23_P387656	EPB41L4B	ENST00000374566
A_23_P38784	SIGLEC7	ENST00000317643
A_23_P387943	CASP2	ENST00000310447
A_23_P38795	FPR1	ENST00000304748
A_23_P388061	DRD1	ENST00000329144
A_23_P388124	ABCD2	
A_23_P38813	ZNF320	ENST00000391781
A_23_P388146	ZNF587	
A_23_P388150	PLA2G12B	ENST00000373032
A_23_P388168	RAB3B	ENST00000371655
A_23_P388190	DIDO1	ENST00000461792
A_23_P388220	RALYL	
A_23_P38830	ZNF552	ENST00000391701
A_23_P388301	PRR14L	ENST00000330495
A_23_P388331	BAGE	
A_23_P388379	ATRNL1	ENST00000355044
A_23_P388433	C4orf3	ENST00000399075
A_23_P38864	RABAC1	ENST00000222008
A_23_P388670	LTA4H	ENST00000413268
A_23_P388681	ELAVL1	ENST00000351593
A_23_P388780	DMAP1	ENST00000440641
A_23_P388812	CKAP2L	ENST00000435431
A_23_P388855	KAT6B	ENST00000372714
A_23_P388871	HIST4H4	ENST00000539745
A_23_P388900	SLC22A15	ENST00000369503
A_23_P388921	C12orf12	ENST00000358859
A_23_P388993	ZC3H12C	ENST00000278590
A_23_P389102	MYO1D	ENST00000318217
A_23_P389118	ANO6	ENST00000320560
A_23_P389141	SLFNL1	ENST00000359345
A_23_P389250	C12orf70	ENST00000416383
A_23_P389281	HOXA13	
A_23_P389371	MRGPRX3	ENST00000396275
A_23_P389391	SLC12A4	
A_23_P389465	KSR2	ENST00000545002
A_23_P389500	REG1B	ENST00000305089
A_23_P38952	ACER1	ENST00000301452
A_23_P389525	COMMD1	ENST00000471704
A_23_P389532	SLC35G3	ENST00000297307
A_23_P389588	TCF7L2	
A_23_P38959	VAV1	ENST00000304076
A_23_P389692	KIAA1328	ENST00000280020
A_23_P389897	NGFR	ENST00000172229
A_23_P389907	ATXN2	ENST00000484991
A_23_P389919	WHSC1	
A_23_P389987	TLX2	ENST00000233638
A_23_P390032	SLC35G1	ENST00000427197
A_23_P390068	C19orf21	ENST00000215582
A_23_P390097	TTC39B	
A_23_P390116	SPATA13	ENST00000466831
A_23_P390139	TMEM74	ENST00000297459
A_23_P390148	RALGPS1	ENST00000259351
A_23_P390172	RNASEL	ENST00000444138
A_23_P390190	NUPL1	ENST00000381736
A_23_P390209		ENST00000390593
A_23_P39024	WDR83	ENST00000552700
A_23_P39034	SMARCA4	
A_23_P390384	ZNF630	ENST00000409324
A_23_P390443	SHISA7	ENST00000376325
A_23_P39050	ZNF823	ENST00000341191
A_23_P390518	TNFRSF11A	
A_23_P390545	PCDHGA8	
A_23_P39056	KLK7	
A_23_P390596	PSKH1	ENST00000291041
A_23_P390621	PACRGL	ENST00000503585
A_23_P390665	VWA3A	ENST00000389397
A_23_P39067	SPIB	
A_23_P390700	CNTN1	ENST00000550305
A_23_P390704	STK38	ENST00000229812
A_23_P390722	TOR1AIP2	ENST00000553856
A_23_P390726	TTC23L	ENST00000514080
A_23_P390734	FGFR1OP2	ENST00000229395
A_23_P390744	FOPNL	ENST00000255759
A_23_P39076	RRAS	ENST00000246792
A_23_P39088	PRMT1	ENST00000391851
A_23_P390958	PCDHB18	ENST00000526308
A_23_P3911	PLXDC1	ENST00000444911
A_23_P39110	RUVBL2	ENST00000413176
A_23_P39116	LIG1	ENST00000544761
A_23_P391164	ZNF512	ENST00000355467
A_23_P391228	MANEAL	ENST00000373045
A_23_P391255	FAM9A	ENST00000543214
A_23_P391275	RCAN3	
A_23_P39131	GLTSCR2	ENST00000446535
A_23_P391396	EBF3	ENST00000355311
A_23_P391443	PPM1H	ENST00000228705
A_23_P391506	IVNS1ABP	ENST00000367498
A_23_P391607	ARRDC1	ENST00000371421
A_23_P391637	TBC1D24	ENST00000293970
A_23_P391689	C19orf79	ENST00000456958
A_23_P39171	GALP	ENST00000357330
A_23_P391711	FABP2	ENST00000274024
A_23_P391725	DR1	ENST00000481583
A_23_P391764	RAPGEF1	ENST00000431470
A_23_P391778	MACF1	ENST00000496360
A_23_P391844	CXorf22	ENST00000297866
A_23_P39185	RDH13	
